Parent Path,Name,Href,OtherTOC,URL,Summary
,Azure AI Foundry Agent Service Documentation,index.yml,FALSE,https://learn.microsoft.com/azure/ai-services/agents/index,"* Provides an overview and quickstart guides for Azure AI Foundry Agent Service, a managed platform for building, deploying, and scaling AI agents.  
* Offers detailed documentation on concepts, tools, features, and integrations related to the service."
Overview,What is Foundry Agent Service?,overview.md,FALSE,https://learn.microsoft.com/azure/ai-services/agents/overview,"* Provides a platform that integrates models, tools, frameworks, and governance to build and operate intelligent agents.  
* Facilitates the deployment of secure, scalable, and production-ready AI agents for enterprise automation and workflow management."
Overview,What's new,./whats-new.md,FALSE,https://learn.microsoft.com/azure/ai-services/agents/./whats-new,"* Provides updates on the general availability and new features of Azure AI Foundry Agent Service, including agent catalog, Visual Studio Code extension, connected and trace agents, and event-triggered agents.  
* Summarizes recent enhancements such as Azure monitor integration, BYO thread storage, Microsoft Fabric tool, and preview features like support for non-Azure OpenAI models and enterprise security."
Overview,FAQ,faq.yml,FALSE,https://learn.microsoft.com/azure/ai-services/agents/faq,"* Provides frequently asked questions and key information about the Azure AI Foundry Agent Service  
* Clarifies data storage, security, encryption, usage, regional presence, and pricing details"
Getting started,Environment setup,./environment-setup.md,FALSE,https://learn.microsoft.com/azure/ai-services/agents/./environment-setup,"* Provides instructions for setting up the environment to create and manage agents using Azure AI Foundry Agent Service.  
* Outlines prerequisites, permissions, and configuration options for different setup modes (Basic, Standard, and Private Networking)."
Getting started,Quickstart,quickstart.md,FALSE,https://learn.microsoft.com/azure/ai-services/agents/quickstart,"Provides a step-by-step guide to creating, configuring, and running AI agents using Azure AI Foundry, including code samples, prerequisites, permissions, and API interactions"
Getting started,Quotas and limits,quotas-limits.md,FALSE,https://learn.microsoft.com/azure/ai-services/agents/quotas-limits,"* Provides detailed quotas and limits for Azure AI Foundry Agent Service, including file sizes, number of files, and token limits.
* Guides on related Azure OpenAI model quotas and how to access additional resources and support."
Getting started,Model and region support,./concepts/model-region-support.md,FALSE,https://learn.microsoft.com/azure/ai-services/agents/./concepts/model-region-support,"* Provides an overview of supported models for Azure AI Foundry Agent Service, including Azure OpenAI models, non-Microsoft models, and models with or without tool-calling capabilities.
* Details deployment options, regional availability, and instructions for integrating various models into agent projects."
Getting started,Pricing,https://azure.microsoft.com/pricing/details/ai-foundry/,FALSE,https://learn.microsoft.com/azure/ai-services/agents/https://azure.microsoft.com/pricing/details/ai-foundry/,"* Indicates an error or invalid request to a system or service.  
* Likely a response message signaling that the request could not be processed due to client error."
Concepts,"Threads, runs, and messages",concepts/threads-runs-messages.md,FALSE,https://learn.microsoft.com/azure/ai-services/agents/concepts/threads-runs-messages,"* Provides an overview of how Azure AI Foundry Agent Service manages conversation components including threads, runs, and messages.  
* Explains the creation, management, and interaction processes of agents, threads, messages, and runs within the service."
Concepts,Standard agent setup,concepts/standard-agent-setup.md,FALSE,https://learn.microsoft.com/azure/ai-services/agents/concepts/standard-agent-setup,"* Provides a detailed overview of the standard agent setup for Azure AI Foundry, emphasizing enterprise security, compliance, and control through customer-managed resources.  
* Outlines the provisioning process, resource requirements, data isolation, and role assignments necessary for a secure, scalable deployment."
Concepts > Tools,Tool Overview,how-to/tools/overview.md,FALSE,https://learn.microsoft.com/azure/ai-services/agents/how-to/tools/overview,"Provides an overview of tools available in Azure AI Foundry Agent Service, including knowledge and action tools, their functionalities, and how they can be integrated to enhance AI agent capabilities."
Concepts > Tools > Grounding with Bing Search,Overview,how-to/tools/bing-grounding.md,FALSE,https://learn.microsoft.com/azure/ai-services/agents/how-to/tools/bing-grounding,"* Provides instructions on integrating Grounding with Bing Search into Azure AI Agents to enable real-time web data retrieval for responses.
* Details setup, configuration, usage, and display requirements, including cost considerations and compliance notes."
Concepts > Tools > Grounding with Bing Search,How to use Grounding with Bing Search,how-to/tools/bing-code-samples.md,FALSE,https://learn.microsoft.com/azure/ai-services/agents/how-to/tools/bing-code-samples,"* Provides step-by-step instructions and code samples for integrating Grounding with Bing Search into Azure AI Foundry agents.  
* Demonstrates how to create, configure, and use the Bing Grounding tool within different programming environments and via REST API."
Concepts > Tools > Use Grounding with Bing Custom Search,Overview,how-to/tools/bing-custom-search.md,FALSE,https://learn.microsoft.com/azure/ai-services/agents/how-to/tools/bing-custom-search,"* Provides instructions on integrating and configuring Custom Bing Search with Azure AI Foundry Agents to enable domain-specific web searches.  
* Explains setup, configuration options, optional parameters, and considerations for utilizing Bing Custom Search within Azure AI solutions."
Concepts > Tools > Use Grounding with Bing Custom Search,How to use Grounding with Bing Custom Search,how-to/tools/bing-custom-search-samples.md,FALSE,https://learn.microsoft.com/azure/ai-services/agents/how-to/tools/bing-custom-search-samples,"* Provides instructions for integrating and using the Grounding with Bing Custom Search tool within Azure AI Foundry Agent Service.  
* Outlines steps for creating connections, configuring agents, initiating threads, submitting user questions, and retrieving responses using REST API calls."
Concepts > Tools > File search,Overview,how-to/tools/file-search.md,FALSE,https://learn.microsoft.com/azure/ai-services/agents/how-to/tools/file-search,"* Provides instructions on integrating and utilizing Azure AI Agents file search capabilities, including setup, file management, and search optimization.
* Explains how to create, manage, and cost-effectively use vector stores for searching and retrieving relevant document data within Azure AI Foundry."
Concepts > Tools > File search,How to upload files,how-to/tools/file-search-upload-files.md,FALSE,https://learn.microsoft.com/azure/ai-services/agents/how-to/tools/file-search-upload-files,"* Provides step-by-step instructions and code samples for uploading files, creating vector stores, and integrating file search tools within Azure AI Foundry.  
* Demonstrates how to set up agents, attach files, run queries, and manage resources using both SDKs and REST API methods."
Concepts > Tools > Azure AI Search,Overview,how-to/tools/azure-ai-search.md,FALSE,https://learn.microsoft.com/azure/ai-services/agents/how-to/tools/azure-ai-search,"* Provides guidance on using an existing Azure AI Search index with the Azure AI Search tool within Azure AI Foundry.
* Details prerequisites, setup steps, and configuration options for integrating and connecting to the search index using SDKs and portal interfaces."
Concepts > Tools > Azure AI Search,How to use Azure AI Search,how-to/tools/azure-ai-search-samples.md,FALSE,https://learn.microsoft.com/azure/ai-services/agents/how-to/tools/azure-ai-search-samples,"* Provides step-by-step instructions for integrating and using Azure AI Search within Azure AI Foundry Agent Service.  
* Includes configuration, agent creation, querying, message handling, and resource cleanup procedures."
Concepts > Tools,Microsoft Fabric,how-to/tools/fabric.md,FALSE,https://learn.microsoft.com/azure/ai-services/agents/how-to/tools/fabric,"* Provides instructions on integrating Microsoft Fabric data agents with Azure AI Foundry Agent Service for enhanced data analysis and conversational Q&A capabilities.
* Outlines setup steps, prerequisites, API usage, and example code for creating agents, connections, and managing data queries securely."
Concepts > Tools,Logic apps,how-to/tools/logic-apps.md,FALSE,https://learn.microsoft.com/azure/ai-services/agents/how-to/tools/logic-apps,"* Provides a step-by-step guide to integrating Azure Logic Apps with Azure AI Foundry Agent Service for automating tasks like sending emails.
* Offers instructions on setting up Logic Apps, registering them with the AI project, creating agents with Logic App tools, and managing communication threads and runs."
Concepts > Tools,Function calling,how-to/tools/function-calling.md,FALSE,https://learn.microsoft.com/azure/ai-services/agents/how-to/tools/function-calling,"* Provides instructions and examples for using Azure AI Foundry Agent Service with function calling capabilities.  
* Demonstrates how to define, invoke, and manage functions within agent workflows across SDKs and REST API."
Concepts > Tools > Code interpreter,Overview,how-to/tools/code-interpreter.md,FALSE,https://learn.microsoft.com/azure/ai-services/agents/how-to/tools/code-interpreter,"* Provides instructions on using Azure AI Foundry Agent Service with Code Interpreter to execute Python code for complex data analysis and problem-solving.  
* Details supported models, SDK options, file types, and key features, including cost considerations and session management."
Concepts > Tools > Code interpreter,How to use code interpreter,how-to/tools/code-interpreter-samples.md,FALSE,https://learn.microsoft.com/azure/ai-services/agents/how-to/tools/code-interpreter-samples,"* Provides instructions and code samples for enabling and using the Code Interpreter tool within Azure AI Agents, including setup, file handling, and resource management.
* Offers detailed step-by-step guides for integrating the Code Interpreter with agents via portal, SDKs, and REST API, facilitating tasks like data analysis, visualization, and file manipulation."
Concepts > Tools > Use OpenAPI defined tools,Overview,how-to/tools/openapi-spec.md,FALSE,https://learn.microsoft.com/azure/ai-services/agents/how-to/tools/openapi-spec,"* Provides guidance on connecting Azure AI Foundry Agent Service to external APIs using OpenAPI 3.0 specifications, enhancing interoperability and scalability.
* Details authentication methods (API key and managed identity), setup procedures, and security configurations to securely integrate and operate custom tools within Azure AI Foundry."
Concepts > Tools > Use OpenAPI defined tools,How to use OpenAPI defined tools,how-to/tools/openapi-spec-samples.md,FALSE,https://learn.microsoft.com/azure/ai-services/agents/how-to/tools/openapi-spec-samples,"* Provides step-by-step instructions and code samples for using OpenAPI specifications with Azure AI Foundry tools and agents.  
* Demonstrates how to set up, configure, and utilize OpenAPI tools within Azure AI Foundry, including agent creation, message handling, run execution, and resource cleanup."
Concepts > Tools > Use OpenAPI defined tools,Invoke an OpenAPI App Service web app,/azure/app-service/invoke-openapi-web-app-from-azure-ai-agent-service?context=/azure/ai-services/agents/context/context,TRUE,https://learn.microsoft.com//azure/app-service/invoke-openapi-web-app-from-azure-ai-agent-service?context=/azure/ai-services/agents/context/context,"* Provides guidance on connecting Azure AI Foundry Agent Service with an Azure App Service web app using the OpenAPI specification.  
* Details steps for deploying, configuring, and verifying integration to enable AI agents to invoke web app APIs for enhanced functionality."
Concepts > Tools > Azure Functions,Overview,how-to/tools/azure-functions.md,FALSE,https://learn.microsoft.com/azure/ai-services/agents/how-to/tools/azure-functions,"* Provides guidance on integrating Azure Functions with Azure AI Foundry Agent Service to build scalable, event-driven AI applications.
* Details setup, deployment, and management of Azure Functions for function calling, including prerequisites, resource provisioning, and code deployment."
Concepts > Tools > Azure Functions,How to use Azure Functions,how-to/tools/azure-functions-samples.md,FALSE,https://learn.microsoft.com/azure/ai-services/agents/how-to/tools/azure-functions-samples,"* Provides guidance on integrating Azure Functions with Azure AI Foundry Agents for processing function calls via queue messages.  
* Details setup, configuration, and deployment steps for creating Azure Functions, defining tools, creating agents, threads, and managing message flows within the Azure AI Foundry environment."
Concepts > Tools > SharePoint,Overview,how-to/tools/sharepoint.md,FALSE,https://learn.microsoft.com/azure/ai-services/agents/how-to/tools/sharepoint,"* Provides instructions on integrating Microsoft SharePoint with Azure AI Agent Service for secure document-based chat interactions.  
* Details setup, prerequisites, supported document types, and connection procedures for leveraging SharePoint data within AI agents."
Concepts > Tools > SharePoint,How to use SharePoint,how-to/tools/sharepoint-samples.md,FALSE,https://learn.microsoft.com/azure/ai-services/agents/how-to/tools/sharepoint-samples,"* Provides step-by-step instructions and code samples for using the SharePoint tool within Azure AI Foundry Agent Service.  
* Guides on creating agents, threads, adding user questions, running threads, and retrieving responses in the SharePoint integration."
Concepts > Enterprise features,Use your own resources,how-to/use-your-own-resources.md,FALSE,https://learn.microsoft.com/azure/ai-services/agents/how-to/use-your-own-resources,"* Provides guidance on using Azure AI Foundry Agent Service with existing Azure resources such as AI Services, Azure OpenAI, Storage, Cosmos DB, and Search.  
* Details steps for configuring and deploying agents using your own resources in basic or standard setup modes."
Concepts > Enterprise features,Content filtering,../openai/how-to/content-filters.md?context=/azure/ai-services/agents/context/context,TRUE,https://learn.microsoft.com/openai/how-to/content-filters?context=/azure/ai-services/agents/context/context,"* Provides a 404 error page indicating the requested content was not found  
* Offers guidance on troubleshooting, such as signing in or searching for relevant content"
Concepts > Enterprise features,Use virtual networks,how-to/virtual-networks.md,FALSE,https://learn.microsoft.com/azure/ai-services/agents/how-to/virtual-networks,"* Provides guidance on setting up a virtual network with Azure AI Foundry Agent Service for secure, private environment deployment.  
* Outlines prerequisites, architecture, deployment steps, and security features for network-isolated AI agent environments."
Concepts > Multi-agent workflows,Connected agents,how-to/connected-agents.md,FALSE,https://learn.microsoft.com/azure/ai-services/agents/how-to/connected-agents,"* Provides guidance on building and managing multi-agent systems using Azure AI Foundry Connected Agents to streamline complex workflows without custom orchestration.  
* Demonstrates how to create, configure, test, and delete connected agents and main agents through portal, SDKs, and code examples."
Concepts > Multi-agent workflows,Processes,/semantic-kernel/frameworks/process/process-framework,TRUE,https://learn.microsoft.com//semantic-kernel/frameworks/process/process-framework,"* Provides an overview of Microsoft's Process Framework within Semantic Kernel for automating and optimizing AI-driven business workflows  
* Highlights key features, core concepts, and practical examples to facilitate the development and management of intelligent business processes"
Concepts,Agent catalog,concepts/agent-catalog.md,FALSE,https://learn.microsoft.com/azure/ai-services/agents/concepts/agent-catalog,"* Provides guidance on accessing, exploring, and deploying AI agents using code samples and best practices within Azure AI Foundry.
* Lists available agent templates across various domains, with descriptions, authors, tools, and difficulty levels to facilitate tailored AI agent development."
How-to,Trigger an agent using Logic Apps,how-to/triggers.md,FALSE,https://learn.microsoft.com/azure/ai-services/agents/how-to/triggers,"* Provides a step-by-step guide to automatically trigger and integrate an Azure AI Foundry agent using Azure Logic Apps.  
* Explains how to set up triggers, configure connectors, and manage interactions between Logic Apps workflows and AI agents for automation purposes."
How-to,Use the Visual Studio Code extension,../../ai-foundry/how-to/develop/vs-code-agents.md?context=/azure/ai-services/agents/context/context,TRUE,https://learn.microsoft.com/../ai-foundry/how-to/develop/vs-code-agents?context=/azure/ai-services/agents/context/context,"* Provides a standard 404 error page indicating the requested content was not found.  
* Offers guidance for users to navigate or search for relevant information on Microsoft Learn."
Observability,Service monitoring,how-to/metrics.md,FALSE,https://learn.microsoft.com/azure/ai-services/agents/how-to/metrics,"* Provides guidance on monitoring Azure AI Foundry Agent Service using Azure Monitor, including data collection, analysis, and alert setup.
* Describes available dashboards, platform metrics, specific metrics for the service, and tools for analyzing monitoring data."
Observability,Trace and observe agents,concepts/tracing.md,FALSE,https://learn.microsoft.com/azure/ai-services/agents/concepts/tracing,"* Provides guidance on enabling and using tracing features to troubleshoot and debug Azure AI Agents.
* Details how to set up, view, and analyze traces using Azure AI Foundry, OpenTelemetry, and Application Insights."
Responsible AI,Transparency note,/legal/cognitive-services/agents/transparency-note?context=/azure/ai-services/agents/context/context,TRUE,https://learn.microsoft.com//legal/cognitive-services/agents/transparency-note?context=/azure/ai-services/agents/context/context,"* Provides an overview of the purpose, capabilities, and responsible use considerations of the Azure AI Agent Service, emphasizing transparency, safety, and legal compliance.  
* Outlines best practices for developing, deploying, and managing AI agents to ensure effective, secure, and ethical AI system implementation."
Responsible AI,"Data, privacy, and security For Azure AI Foundry Agent Service",/legal/cognitive-services/agents/data-privacy-security?context=/azure/ai-services/agents/context/context,TRUE,https://learn.microsoft.com//legal/cognitive-services/agents/data-privacy-security?context=/azure/ai-services/agents/context/context,"* Provides information on data handling, privacy, and security measures for Azure AI Agent Service.  
* Explains how user data, prompts, external data, and stored content are processed, stored, and protected."
Reference,REST API,/rest/api/aifoundry/aiagents,TRUE,https://learn.microsoft.com//rest/api/aifoundry/aiagents,"* Provides API endpoints for creating, configuring, and running AI agents that utilize large language models and tools.  
* Describes authentication methods, core operation groups, and integration with existing OpenAI-compatible SDKs."
Reference > SDK,C#,/dotnet/api/overview/azure/ai.agents.persistent-readme,TRUE,https://learn.microsoft.com//dotnet/api/overview/azure/ai.agents.persistent-readme,"* Provides guidance on using the Azure AI Persistent Agents client library for .NET to develop, manage, and execute AI agents for various use cases.  
* Offers instructions for installation, authentication, creating agents, running threads, messaging, file handling, integrating external tools (e.g., Bing, Azure Search, Azure Functions, OpenAPI), troubleshooting, and contributing to the library."
Reference > SDK,Python,https://aka.ms/azsdk/azure-ai-projects/python/reference,FALSE,https://learn.microsoft.com/azure/ai-services/agents/https://aka.ms/azsdk/azure-ai-projects/python/reference,"* Indicates a request error or invalid input from the user.  
* Likely a system response to improper or malformed request data."
Reference > SDK,JavaScript,/javascript/api/overview/azure/ai-projects-readme,TRUE,https://learn.microsoft.com//javascript/api/overview/azure/ai-projects-readme,"* Provides an overview of the Azure AI Projects client library for JavaScript, including its capabilities for managing AI agents, models, datasets, connections, indexes, and evaluations.  
* Offers guidance on setup, authentication, and usage examples for performing various operations within Azure AI Foundry projects."
Reference,Data monitoring reference,reference/monitor-service.md,FALSE,https://learn.microsoft.com/azure/ai-services/agents/reference/monitor-service,"* Provides monitoring reference information and metrics for Azure AI Foundry Agent Service.  
* Details key metrics, categories, and dimensions to help users track and analyze service performance and resource utilization."
Resources,Support and help options,../cognitive-services-support-options.md?context=/azure/ai-services/agents/context/context,TRUE,https://learn.microsoft.com/cognitive-services-support-options?context=/azure/ai-services/agents/context/context,"* Provides a 404 error page indicating the requested content was not found  
* Offers guidance on navigation options, such as signing in or using search results, and includes links to privacy and support resources"
Resources,Terms of use,https://www.microsoft.com/licensing/terms/productoffering/MicrosoftAzure/MCA#ServiceSpecificTerms,FALSE,https://learn.microsoft.com/azure/ai-services/agents/https://www.microsoft.com/licensing/terms/productoffering/MicrosoftAzure/MCA#ServiceSpecificTerms,"* Indicates a request error or invalid input from the user.  
* Serves as a notification that the server could not process the request due to client error."
